naslov,avtor,ocena,score,glasovalci
Jesus Calling: Enjoying Peace in His Presence,Sarah  Young,4.52,279.0,4

Matter,Iain M. Banks,4.07,279.0,4

The Dream Thieves,Maggie Stiefvater,4.26,279.0,4

Lost in a Good Book,Jasper Fforde,4.14,279.0,6

Private Peaceful,Michael Morpurgo,4.18,279.0,3

Saving Brooksie,Scott McElhaney,3.95,279.0,3

Spin,Robert Charles Wilson,4.02,278.0,3

The Damned Utd,David Peace,4.13,278.0,3

The Wee Free Men,Terry Pratchett,4.27,278.0,4

Elizabeth Costello,J.M. Coetzee,3.43,277.0,5

Jasper Jones,Craig Silvey,4.08,276.0,3

The Husband's Secret,Liane Moriarty,3.94,276.0,3

A God in Ruins,Kate Atkinson,3.94,276.0,3

Rhett Butler's People,Donald McCaig,3.78,275.0,3

The Bastard of Istanbul,Elif Shafak,3.83,275.0,3

Shadow Puppets,Orson Scott Card,3.89,275.0,4

Undead and Unappreciated,MaryJanice Davidson,3.88,274.0,4

Something Rotten,Jasper Fforde,4.16,274.0,5

The Magician King,Lev Grossman,3.92,273.0,3

Medicus,Ruth Downie,3.73,273.0,4

Major Pettigrew's Last Stand,Helen Simonson,3.89,273.0,4

The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,4.13,273.0,4

Doomed Queen Anne,Carolyn Meyer,3.87,272.0,4

NOS4A2,Joe Hill,4.07,272.0,3

Mommy's Choice,Scott  Curtis,4.19,272.0,3

Angler,Barton Gellman,4.02,271.0,3

"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,4.18,270.0,3

Pack Your Bags and Get Out!,David Clarke,4.32,270.0,3

"Dear Ijeawele, or a Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.53,270.0,3

Napalm &amp; Silly Putty,George Carlin,4.13,269.0,4

Love,Toni Morrison,3.75,269.0,4

Stitches,David Small,4.04,268.0,3

Divisadero,Michael Ondaatje,3.5,267.0,4

All About Lulu,Jonathan Evison,3.65,266.0,3

An Arsonist's Guide to Writers' Homes in New England,Brock Clarke,2.97,266.0,3

The Atrocity Archives,Charles Stross,3.91,266.0,3

"One Summer: America, 1927",Bill Bryson,4.08,266.0,4

Homegoing,Yaa Gyasi,4.42,266.0,3

"Skinny Bitch: A No-Nonsense, Tough-Love Guide for Savvy Girls Who Want to Stop Eating Crap and Start Looking Fabulous!",Rory Freedman,3.35,265.0,3

Passage,Connie Willis,3.68,265.0,4

The Orange Girl,Jostein Gaarder,3.92,265.0,3

Always in My Heart,Catherine Anderson,4.03,265.0,3

The Pagan Lord,Bernard Cornwell,4.36,265.0,3

An Ember in the Ashes,Sabaa Tahir,4.29,265.0,3

The Three-Body Problem,Liu Cixin,4.06,265.0,3

The Overstory,Richard Powers,4.17,265.0,3

Waking the Witch,Kelley Armstrong,4.17,264.0,5

Turning Angel,Greg Iles,4.12,264.0,4

Akata Witch,Nnedi Okorafor,4.06,264.0,4

In All Probability,Steve  Morris,3.92,263.0,3

The Icarus Girl,Helen Oyeyemi,3.6,263.0,3

United We Spy,Ally Carter,4.44,263.0,3

Bleeding Edge,Thomas Pynchon,3.57,263.0,3

A Spy Among Friends: Kim Philby and the Great Betrayal,Ben Macintyre,4.16,263.0,4

Norwegian by Night,Derek B. Miller,3.93,263.0,3

What the Dog Saw and Other Adventures,Malcolm Gladwell,3.85,262.0,3

Ice Hunt,James Rollins,4.04,261.0,3

Bright Eyes,Catherine Anderson,4.17,261.0,3

The Book of Strange New Things,Michel Faber,3.66,261.0,3

Life,Keith Richards,3.87,261.0,3

Captivating: Unveiling the Mystery of a Woman's Soul,John Eldredge,3.91,260.0,3

The Constant Princess,Philippa Gregory,3.9,260.0,4

Soumission,Michel Houellebecq,3.65,260.0,3

The Glass Room,Simon Mawer,3.9,259.0,3

Star Bright,Catherine Anderson,4.08,259.0,3

Simon vs. the Homo Sapiens Agenda,Becky Albertalli,4.31,259.0,3

Modern Romance,Aziz Ansari,3.82,259.0,3

Fablehaven,Brandon Mull,4.1,258.0,4

Perfect Chemistry,Simone Elkeles,4.06,257.0,5

Glass,Ellen Hopkins,4.29,257.0,4

Deadly Games,Lindsay Buroker,4.32,257.0,3

The Rest of Us Just Live Here,Patrick Ness,3.72,257.0,3

Conspiracy,Lindsay Buroker,4.37,256.0,3

The Lady of the Sorrows,Cecilia Dart-Thornton,3.84,256.0,3

The Last Kingdom,Bernard Cornwell,4.25,256.0,3

How to Be Both,Ali Smith,3.65,256.0,3

The Keep,Jennifer Egan,3.45,255.0,3

The Errors of the National Academy of Sciences: A Reply to the Booklet Science and Creationism,Harun Yahya,3.4,255.0,3

Black Magic Sanction,Kim Harrison,4.38,255.0,4

Nefertiti,Michelle Moran,4.07,255.0,3

Agincourt,Bernard Cornwell,4.13,255.0,3

Confess,Colleen Hoover,4.23,255.0,3

All the Bright Places,Jennifer Niven,4.17,255.0,3

Wish You Well,David Baldacci,3.98,254.0,3

Destined,P.C. Cast,4.04,254.0,6

When You Are Engulfed in Flames,David Sedaris,4.06,254.0,4

The Eternity Code,Eoin Colfer,4.04,254.0,3

The Battle of Evernight,Cecilia Dart-Thornton,3.73,253.0,3

February,Lisa Moore,3.7,253.0,3

Small Great Things,Jodi Picoult,4.34,252.0,3

A Question of Blood,Ian Rankin,4.06,251.0,4

So B. It,Sarah Weeks,4.11,251.0,3

The Brooklyn Follies,Paul Auster,3.84,251.0,3

White Hot Kiss,Jennifer L. Armentrout,4.26,251.0,3

"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain, from Vienna 1900 to the Present",Eric R. Kandel,4.23,251.0,3

Micah,Laurell K. Hamilton,3.63,250.0,5

The Twilight Saga,Stephenie Meyer,3.89,250.0,4

The Wednesday Wars,Gary D. Schmidt,4.08,250.0,3

Mistress of Rome,Kate Quinn,4.05,250.0,3

"American Conspiracies: Lies, Lies, and More Dirty Lies that the Government Tells Us",Jesse Ventura,3.6,248.0,4

Genghis: Lords of the Bow,Conn Iggulden,4.34,248.0,3

Frostbitten,Kelley Armstrong,4.29,248.0,5

Saphirblau,Kerstin Gier,4.17,248.0,4

Awaken,Meg Cabot,3.93,248.0,3

The Almond Tree,Michelle Cohen Corasanti,4.12,248.0,3

How to Talk to a Widower,Jonathan Tropper,3.97,248.0,3

Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,4.3,247.0,3

Erasure,Percival Everett,4.18,246.0,3

The Ladies of Grace Adieu and Other Stories,Susanna Clarke,3.86,246.0,4

Kushiel's Avatar,Jacqueline Carey,4.36,246.0,3

Death Masks,Jim Butcher,4.31,246.0,4

Abraham Lincoln: Vampire Hunter,Seth Grahame-Smith,3.7,246.0,5

A Land More Kind Than Home,Wiley Cash,3.86,246.0,3

Before We Were Yours,Lisa Wingate,4.37,246.0,3

Dancer,Colum McCann,3.92,245.0,4

Global FreeMasonry,Harun Yahya,3.7,245.0,2

Trial by Fire,Jennifer Lynn Barnes,4.13,245.0,3

The Possibility of an Island,Michel Houellebecq,3.81,245.0,3

The Echo Maker,Richard Powers,3.39,245.0,4

Dead Wake: The Last Crossing of the Lusitania,Erik Larson,4.09,245.0,4

The Iron Queen,Julie Kagawa,4.23,244.0,3

Wave,Sonali Deraniyagala,3.74,244.0,3

Underworld,Meg Cabot,3.88,244.0,3

The Sellout,Paul Beatty,3.77,244.0,3

Darklight,Lesley Livingston,3.92,243.0,3

The Moral Landscape: How Science Can Determine Human Values,Sam Harris,3.91,243.0,3

H is for Hawk,Helen Macdonald,3.73,243.0,3

Rebel Angels,Libba Bray,3.94,242.0,3

Squire,Tamora Pierce,4.28,242.0,3

Burning Dawn,Gena Showalter,4.3,242.0,3

Narcissus in Chains,Laurell K. Hamilton,3.9,241.0,5

The Memory of Love,Aminatta Forna,3.9,241.0,3

Shadow of the Giant,Orson Scott Card,4.0,241.0,3

Elizabeth Is Missing,Emma Healey,3.71,241.0,3

Furiously Happy: A Funny Book About Horrible Things,Jenny  Lawson,3.92,241.0,4

The Singing,Alison Croggon,4.21,240.0,4

"The Good, the Bad, and the Undead",Kim Harrison,4.26,240.0,4

Educated,Tara Westover,4.47,240.0,3

The Maze of Bones,Rick Riordan,3.84,239.0,6

"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,4.22,239.0,3

Theft of Swords,Michael J. Sullivan,4.22,239.0,3

Reckless,Cornelia Funke,3.73,239.0,4

Mr. Mercedes,Stephen King,3.97,239.0,3

Abhorsen,Garth Nix,4.22,238.0,4

Lady Knight,Tamora Pierce,4.31,238.0,3

Possible Side Effects,Augusten Burroughs,3.99,237.0,3

American Wife,Curtis Sittenfeld,3.74,237.0,3

Succubus Blues,Richelle Mead,3.94,237.0,4

Malcolm X: A Life of Reinvention,Manning Marable,4.23,237.0,3

School's Out—Forever,James Patterson,4.15,237.0,4

Willow,Julia Hoban,3.92,236.0,3

The Ruins,Scott B. Smith,3.56,236.0,4

Pretty Little Liars,Sara Shepard,3.88,236.0,4

Mrs. Kimble,Jennifer Haigh,3.65,235.0,4

Saving the World and Other Extreme Sports,James Patterson,4.15,235.0,4

The Leopard,Jo Nesbø,4.08,235.0,3

The Demigod Files,Rick Riordan,4.04,234.0,3

A Tale of Love and Darkness,Amos Oz,4.22,234.0,3

Revenge of the Witch,Joseph Delaney,3.99,233.0,5

A Touch of Dead,Charlaine Harris,3.83,233.0,5

Prince of Thieves,Chuck Hogan,3.94,233.0,3

The King of Attolia,Megan Whalen Turner,4.37,233.0,3

Genghis Khan and the Making of the Modern World,Jack Weatherford,4.04,231.0,3

No Humans Involved,Kelley Armstrong,4.2,230.0,5

Enders,Lissa Price,3.72,230.0,3

Feed,M.T. Anderson,3.54,230.0,4

The Heir,Kiera Cass,3.8,230.0,3

Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,229.0,3

Lady of Devices,Shelley Adina,3.78,229.0,3

The Devotion of Suspect X,Keigo Higashino,4.12,229.0,4

Fury &amp; Light,Chris Stewart,4.33,228.0,3

Spells,Aprilynne Pike,3.98,228.0,4

The Novice,Trudi Canavan,4.07,227.0,4

The Little Stranger,Sarah Waters,3.54,227.0,3

"Out of Sight, Out of Time",Ally Carter,4.32,227.0,3

The Shadowhunter's Codex,Cassandra Clare,4.01,227.0,3

The Summer I Turned Pretty,Jenny Han,3.93,227.0,3

Horns,Joe Hill,3.92,227.0,3

Baghdad Burning: Girl Blog from Iraq,Riverbend,4.09,226.0,3

Grave Surprise,Charlaine Harris,3.89,226.0,5

Double Identity,Margaret Peterson Haddix,4.02,226.0,3

Hattie Big Sky,Kirby Larson,3.99,226.0,3

Lexicon,Max Barry,3.9,225.0,3

The Winner's Curse,Marie Rutkoski,3.99,225.0,3

News of the World,Paulette Jiles,4.07,225.0,3

Bone Thief,Thomas O&#39;Callaghan,3.49,224.0,3

The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,Timothy Egan,4.03,224.0,3

Gut gegen Nordwind,Daniel Glattauer,3.87,223.0,3

The Falls,Ian Rankin,4.03,222.0,4

Marcelo in the Real World,Francisco X. Stork,3.95,222.0,3

The Keeper of Lost Causes,Jussi Adler-Olsen,3.98,222.0,3

"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,4.16,222.0,3

Industrial Magic,Kelley Armstrong,4.13,221.0,4

River Secrets,Shannon Hale,4.04,221.0,4

Eleven Minutes,Paulo Coelho,3.7,221.0,3

The Scar,China Miéville,4.16,221.0,3

Legacy of Ashes: The History of the CIA,Tim Weiner,3.91,221.0,3

This is Where I Leave You,Jonathan Tropper,3.89,221.0,3

The Irresistible Revolution: Living as an Ordinary Radical,Shane Claiborne,4.05,220.0,3

Cerulean Sins,Laurell K. Hamilton,3.85,220.0,4

Nick &amp; Norah's Infinite Playlist,Rachel Cohn,3.71,220.0,3

Bloodhound,Tamora Pierce,4.27,220.0,3

Foxglove Summer,Ben Aaronovitch,4.2,220.0,3

Night of the Soul Stealer,Joseph Delaney,4.14,219.0,4

Blood Memory,Greg Iles,4.12,219.0,2

Helsinki White,James  Thompson,3.5,218.0,3

Mortal Heart,Robin LaFevers,4.11,218.0,3

Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.43,218.0,3

Half Bad,Sally Green,3.79,218.0,3

The Enchantress of Florence,Salman Rushdie,3.59,217.0,3

Opal,Jennifer L. Armentrout,4.31,217.0,3

Lullaby,Chuck Palahniuk,3.73,217.0,3

The Orenda,Joseph Boyden,4.22,216.0,3

The Stuff of Thought: Language as a Window into Human Nature,Steven Pinker,3.9,216.0,3

Damned,Chuck Palahniuk,3.38,216.0,3

Flawless,Sara Shepard,3.94,215.0,3

Curse of the Bane,Joseph Delaney,4.11,215.0,4

The Brutal Telling,Louise Penny,4.23,215.0,3

Uncommon Criminals,Ally Carter,4.13,215.0,3

Washington: A Life,Ron Chernow,4.09,215.0,3

Life Itself,Roger Ebert,3.91,215.0,3

Pirate Cinema,Cory Doctorow,3.72,214.0,3

The Necromancer,Michael Scott,4.13,213.0,4

Five Quarters of the Orange,Joanne Harris,3.85,213.0,3

Zeroville,Steve Erickson,4.08,212.0,3

Pirate Latitudes,Michael Crichton,3.44,212.0,3

Blackout,Connie Willis,3.83,212.0,3

Air,Geoff Ryman,3.61,212.0,3

Undead and Unpopular,MaryJanice Davidson,3.84,211.0,3

Night Star,Alyson Noel,3.82,211.0,3

Zoe's Tale,John Scalzi,3.74,211.0,3

True Evil,Greg Iles,4.09,210.0,3

"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,4.19,210.0,4

Our Souls at Night,Kent Haruf,3.94,210.0,3

Stormwalker,Allyson James,3.75,209.0,3

Max,James Patterson,4.07,209.0,4

The Kill Order,James Dashner,3.72,209.0,3

Hate List,Jennifer Brown,4.02,209.0,3

Burial Rites,Hannah Kent,4.03,209.0,3

The Children Act,Ian McEwan,3.7,209.0,3

Red Queen,Victoria Aveyard,4.06,209.0,4

The Warlock,Michael Scott,4.18,208.0,4

Until I Die,Amy Plum,4.17,208.0,3

Cruel Beauty,Rosamund Hodge,3.71,208.0,3

Alone,Lisa Gardner,3.96,207.0,3

90 Minutes in Heaven: A True Story of Death and Life,Don Piper,3.94,207.0,3

Both Ways is the Only Way I Want It,Maile Meloy,3.82,207.0,3

Wayward,Blake Crouch,4.13,206.0,3

The Hidden Oracle,Rick Riordan,4.26,206.0,3

A Long Way Home,Saroo Brierley,4.12,206.0,3

A Fatal Grace,Louise Penny,4.1,205.0,3

Origin,Jennifer L. Armentrout,4.4,205.0,3

The Silkworm,Robert Galbraith,4.04,205.0,3

Fairest,Gail Carson Levine,3.88,204.0,4

Orphan Train,Christina Baker Kline,4.17,204.0,4

Time and Chance,Sharon Kay Penman,4.29,203.0,3

The Harlequin,Laurell K. Hamilton,3.92,203.0,4

Sandman Slim,Richard Kadrey,3.94,203.0,3

Onyx,Jennifer L. Armentrout,4.3,202.0,3

A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.08,202.0,3

"Toys Go Out: Being the Adventures of a Knowledgeable Stingray, a Toughy Little Buffalo, and Someone Called Plastic",Emily Jenkins,3.93,200.0,2

Rorschach's Ribs,Marcus Eder,3.79,200.0,2

Optimal Edge,Eugene Nwosu,4.67,200.0,2

Moonlit Tours,Alistair McHarg,5.0,200.0,2

"Why We Love Dogs, Eat Pigs, and Wear Cows: An Introduction to Carnism: The Belief System That Enables Us to Eat Some Animals and Not Others",Melanie Joy,4.08,200.0,2

The Sallee Rovers,M. Kei,3.71,200.0,2

What The Torah Teaches Us About Spirituality/ Through Isaac's Own Spiritual Journey,Laura Weakley,4.5,200.0,2

The Postmortal,Drew Magary,3.79,200.0,2

This Book Will Save Your Life,A.M. Homes,3.66,200.0,2

Mythica: Genesis,Scott S. Colley,4.11,200.0,2

The Amulet of Samarkand,Jonathan Stroud,4.01,200.0,4

All That is Red,Anna Caltabiano,3.81,200.0,2

Twisted,Jenny  Phillips,4.29,200.0,2

Grandma! Can I Get a Dog?,Barry Jordan Jr.,4.5,200.0,2

The Screaming Codpiece,R.L. McSterlingthong,3.79,200.0,2

The Black Rose,Diana  Sweeney,3.57,200.0,2

"God, Save the Pirate",Ria Warrick,3.25,200.0,2

The Mind,John     Fitzgerald,4.71,200.0,2

Adventure-Pom!,Sean Dryden,4.1,200.0,2

The Dancing Soul of Fire,Ben  Anderson,4.17,200.0,2

The Burning Bridge,John Flanagan,4.3,200.0,3

Call Of The Lost Ages: A Study Of The Indus Valley Script,Subhajit Ganguly,4.48,200.0,2

The Cartel Wars,Dorothy May Mercer,4.48,200.0,2

Angelwood. Kings &amp; Queens,Hendrik Birke,4.36,200.0,2

Be Careful What You Wish For,Jeffrey Archer,4.08,200.0,2

"All My Love, Detrick",Roberta Kagan,4.04,200.0,2

Unleash The Power of Social Media Marketing: Explosive Proven Strategies to Boost Your Social Media Marketing Campaign,Joe Praveen Sequeira,4.79,200.0,2

Nine Brutal Years,Leesia Champion,4.4,200.0,2

Abuse,Nikki Sex,4.07,200.0,2

And the Tide Turns,Timothy  Dalton,3.9,200.0,2

Miss Wrong and Mr Right,Robert Bryndza,3.94,200.0,2

Find Your Purpose Using Science,Gleb Tsipursky,3.98,200.0,2

"Paleo from A to Z: A reference guide to better health through nutrition and lifestyle. How to eat, live and thrive as nature intended!",Darryl Edwards,4.68,200.0,2

Moondance,Desiree  King,4.0,200.0,2

Moonbreeze,Adrienne Woods,4.21,200.0,2

Complicate Me,M.  Robinson,4.02,200.0,2

The Star,Michele Breza,3.74,200.0,2

A Victim of the Times,Adam Steven Page,3.6,200.0,2

Stony Kill,Marie White Small,3.9,200.0,2

Paris in Oakland,Eliza Q. Hemenway,4.53,200.0,2

At First Blush,Beth Ellyn Summer,3.87,200.0,2

Lady Thatcher's Wink,David Arscott,5.0,200.0,2

The Devil's Prayer,Luke Gracias,3.98,200.0,2

Action Words: Journey of a Journalist,Shaune Bordere,4.5,200.0,2

Kill Irish,Mayi Ngwala,4.67,200.0,2

Elementals: Mystic Warriors,Katherine  L. Moore,4.41,200.0,2

Dystopia: How The Tyranny of Specialists Destroy African Cities,Archimedes Muzenda,4.4,200.0,2

The Blood of Flowers,Anita Amirrezvani,3.96,199.0,2

Bury Your Dead,Louise Penny,4.35,199.0,3

Twilight of the Elites: America After Meritocracy,Christopher L. Hayes,4.0,199.0,2

Every Time I Think of You,Jim Provenzano,4.07,199.0,2

The Fig Orchard,Layla Fiske,4.11,199.0,2

SG - Suicide Game,Haidji,3.49,199.0,2

And Then Run,Eric Hublot,3.53,199.0,2

Something Witchy This Way Comes,Veronica Blade,3.83,199.0,2

Five Years - The Meeting,Leonard Belmont,4.4,199.0,2

The Prostitute's Daughter,Adrienne D&#39;nelle Ruvalcaba,4.04,199.0,2

Anne Hawksmoor: The Time Traveller,K.C. Harry,4.0,199.0,2

Strange Bodies,Marcel Theroux,3.63,199.0,2

Albion Imperilled,Ruth  Thomas,3.77,199.0,2

The Fourth Monkey,J.D. Barker,4.15,199.0,2

The Timingila,Shon Mehta,4.18,199.0,2

Limonov,Emmanuel Carrère,4.08,199.0,2

The First 100 Days of Your Book: Book Marketing for Self-Published Authors,Joel Stafford,4.68,199.0,2

Finn,Jon Clinch,3.72,198.0,2

Eight of Jacks,T.D. McMichael,4.23,198.0,2

Mom! What's That?,Atlas Jordan,4.3,198.0,2

Travesuras de la niña mala,Mario Vargas Llosa,4.08,198.0,2

Our Lady of Alice Bhatti,Mohammed Hanif,3.38,198.0,2

Spring Water,John     Fitzgerald,4.29,198.0,2

The Darwin Elevator,Jason M. Hough,3.68,198.0,2

The Rotters' Club,Jonathan Coe,3.96,198.0,2

Dante's Amulet,Melinda De Ross,4.55,198.0,2

"Coco Pinchard, The Consequences Of Love And Sex",Robert Bryndza,4.05,198.0,2

Best Served Cold,Joe Abercrombie,4.18,198.0,3

Blood Line,John J.  Davis,3.64,198.0,2

The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,3.83,198.0,2

Remarkable Creatures,Tracy Chevalier,3.85,198.0,3

Unleash the POWER of Wordpress: The Smart Guide to WordPress for Beginners,Joe Praveen Sequeira,4.58,198.0,2

Magnolias in Paradise,Leonard Seet,4.53,198.0,2

"Against the Flow: The Arts, Postmodern Culture and Education",Peter Abbs,4.48,198.0,2

All the Ugly and Wonderful Things,Bryn Greenwood,4.07,198.0,2

Binding Chaos: Mass collaboration on a global scale,Heather  Marsh,4.55,198.0,2

Samuel Johnson Is Indignant,Lydia Davis,3.98,197.0,2

The Immortal Prince,Jennifer Fallon,3.97,197.0,2

A Job From Hell,Jayde Scott,3.55,197.0,2

Living with the Dead,Kelley Armstrong,4.03,197.0,3

Blackout,Mira Grant,4.09,197.0,3

Ransom,Emily Guido,4.54,197.0,2

Parallel Stories,Péter Nádas,3.73,197.0,2

Wither,Lauren DeStefano,3.8,197.0,3

In The Midst of Secrets,Katherine Vogel,3.86,197.0,2

Dear Life,Alice Munro,3.75,197.0,3

Terry Treetop and the Lost Egg,Tali Carmi,3.8,197.0,2

Where Is My Home?,Tali Carmi,4.18,197.0,2

Erak's Ransom,John Flanagan,4.32,197.0,3

You Are My Sunshine,Roberta Kagan,4.11,197.0,2

Inheritance,John O&#39;Riley,3.65,197.0,2

Soldados de Salamina,Javier Cercas,3.81,197.0,2

Keeper of the Lost Cities,Shannon Messenger,4.46,197.0,2

The Chemistry of Tears,Peter Carey,2.96,197.0,2

Wizard of the Crow,Ngũgĩ wa Thiong&#39;o,4.19,196.0,2

"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden from the Soviet Invasion to September 10, 2001",Steve Coll,4.3,196.0,2

End the Fed,Ron Paul,4.04,196.0,2

Fearless Fourteen,Janet Evanovich,4.03,196.0,2

A Companion Workbook to What the Torah Teaches Us About Survival,Laura Weakley,4.33,196.0,2

The Wiccan Diaries,T.D. McMichael,3.63,196.0,2

Through Wolf's Eyes,Jane Lindskold,3.97,196.0,3

Baby Jaimie Gets Stage Fright,Jaimie Hope,4.0,196.0,2

Cinema of Shadows,Michael  West,3.7,196.0,2

The Witness,Nora Roberts,4.21,196.0,2

Charles and Emma: The Darwins' Leap of Faith,Deborah Heiligman,3.7,196.0,3

Telling Time by the Shadows,John     Fitzgerald,5.0,196.0,2

Command Authority,Tom Clancy,4.1,196.0,2

You Are Not a Stranger Here,Adam Haslett,3.96,196.0,2

Story of The Ghost,Charles  Mahoney,4.43,196.0,2

Terry Treetop Finds New Friends,Tali Carmi,4.29,196.0,2

The Rest Is Noise: Listening to the Twentieth Century,Alex  Ross,4.08,196.0,2

Anne Hawksmoor: Time in the Tower,K.C. Harry,4.29,196.0,2

A Flicker of Light,Roberta Kagan,3.88,196.0,2

Anne Hawksmoor: Lost in Time,K.C. Harry,4.12,196.0,2

The Long Tail: Why the Future of Business is Selling Less of More,Chris Anderson,3.81,196.0,2

In Too Deep,Neva Squires-Rodriguez,4.36,196.0,2

I'll Give You the Sun,Jandy Nelson,4.14,196.0,3

Louder Than a Whisper: Clearer Than a Bell,Renée Paule,4.64,196.0,2

Behind Blue Eyes,D.M. Wolfenden,4.17,196.0,2

The Ecological Rift,John Bellamy Foster,4.37,196.0,2

The Religion,Tim Willocks,4.09,195.0,2

Grab On to Me Tightly as if I Knew the Way,Bryan Charles,3.37,195.0,2

Who's That Knocking on Christmas Eve?,Jan Brett,4.16,195.0,2

Knife Edge,Malorie Blackman,4.09,195.0,2

Personal Demon,Kelley Armstrong,4.08,195.0,3

Magic Strikes,Ilona Andrews,4.44,195.0,4

Charmeine,Emily Guido,3.95,195.0,2

What Happened to Goodbye,Sarah Dessen,3.96,195.0,3

The Hangman's Daughter,Oliver Pötzsch,3.73,195.0,2

The First Pillar,Roy Huff,3.57,195.0,2

Arcadia,Lauren Groff,3.67,195.0,2

Ghana Must Go,Taiye Selasi,3.83,195.0,2

Coco Pinchard's Big Fat Tipsy Wedding,Robert Bryndza,3.84,195.0,2

The Voyage,Roberta Kagan,4.03,195.0,2

The Hope Handbook for Dads: The Search for Personal Growth,Germany Kent,4.75,195.0,2

The Not So Secret Emails Of Coco Pinchard,Robert Bryndza,3.64,195.0,2

We Wove a Web in Childhood: The Brontes at Home,Ruth  Thomas,3.79,195.0,2

Average Joe and the Extraordinaires,Belart Wright,3.32,195.0,2

The Box,D.M. Wolfenden,4.44,195.0,2

Art of 4 Elements,Nataša Pantović,4.66,195.0,2

Normal People,Sally Rooney,3.86,195.0,2

La reina oculta,Jorge Molist,3.65,194.0,2

"Dominion: The Power of Man, the Suffering of Animals, and the Call to Mercy",Matthew Scully,4.16,194.0,2

Satan's Song: A Bailey Crane Mystery,Billy Ray Chitwood,4.8,194.0,2

Irma Voth,Miriam Toews,3.5,194.0,2

What The Torah Teaches Us About Survival,Laura Weakley,4.65,194.0,2

A Song for Julia,Charles Sheehan-Miles,4.12,194.0,2

American Assassin,Vince Flynn,4.23,194.0,2

Anne Hawksmoor: The Time Thief,K.C. Harry,4.33,194.0,2

Leaving Time,Jodi Picoult,3.97,194.0,2

No Turning Back,Neva Squires-Rodriguez,4.27,194.0,2

The Museum of Extraordinary Things,Alice Hoffman,3.74,194.0,2

Leaving Atlanta,Tayari Jones,4.0,193.0,2

The Rice Mother,Rani Manicka,4.12,193.0,2

What the Torah Teaches Us about Spirituality: Through Isaac's Own Spiritual Journey,Laura Weakley,4.15,193.0,2

Invisible Prey,John Sandford,4.14,193.0,3

Baby Jaimie Has a Crush,Jaimie Hope,4.58,193.0,2

Baby Jaimie Goes to School,Jaimie Hope,4.29,193.0,2

The End,Lemony Snicket,4.01,193.0,3

The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,4.5,193.0,2

Pirates: The Midnight Passage,James R. Hannibal,4.2,193.0,2

Hitman: My Real Life in the Cartoon World of Wrestling,Bret Hart,4.36,193.0,2

9/11 Contradictions: An Open Letter to Congress and the Press,David Ray Griffin,3.89,192.0,2

Double Cross,Malorie Blackman,4.15,192.0,2

Mama's Madness,Billy Ray Chitwood,3.76,192.0,2

The Brutus Gate: A Bailey Crane Mystery,Billy Ray Chitwood,5.0,192.0,2

Butterflies and Jellybeans - A Love Story,Billy Ray Chitwood,4.67,192.0,2

An Arizona Tragedy: A Bailey Crane Mystery,Billy Ray Chitwood,4.78,192.0,2

A Soul Defiled: A Bailey Crane Mystery,Billy Ray Chitwood,4.75,192.0,2

Roll with It,Jaimie Hope,4.56,192.0,2

Just Remember to Breathe,Charles Sheehan-Miles,4.0,192.0,2

The Greater Journey: Americans in Paris,David McCullough,3.91,192.0,3

The Indigo Spell,Richelle Mead,4.39,192.0,2

Sister,Rosamund Lupton,3.77,192.0,2

Walking Disaster,Jamie McGuire,4.21,192.0,3

The Battle for Skandia,John Flanagan,4.34,192.0,3

